category,backend,noise_kind,noise_level,samples,accuracy,precision,recall,f1_score
ideal,aer_simulator_ideal,,,25,1.0000,1.0000,1.0000,1.0000
noisy,ibm_torino,backend_noise,,25,1.0000,1.0000,1.0000,1.0000
noisy,ibm_fez,backend_noise,,25,1.0000,1.0000,1.0000,1.0000
custom_noise_readout,readout_ultra-low,readout,ultra-low,25,1.0000,1.0000,1.0000,1.0000
custom_noise_readout,readout_low,readout,low,25,1.0000,1.0000,1.0000,1.0000
custom_noise_readout,readout_medium,readout,medium,25,1.0000,1.0000,1.0000,1.0000
custom_noise_readout,readout_high,readout,high,25,1.0000,1.0000,1.0000,1.0000
custom_noise_readout,readout_very-high,readout,very-high,25,1.0000,1.0000,1.0000,1.0000
custom_noise_thermal_relaxation,thermal_relaxation_ultra-low,thermal,relaxation_ultra-low,25,1.0000,1.0000,1.0000,1.0000
custom_noise_thermal_relaxation,thermal_relaxation_low,thermal,relaxation_low,25,1.0000,1.0000,1.0000,1.0000
custom_noise_thermal_relaxation,thermal_relaxation_medium,thermal,relaxation_medium,25,1.0000,1.0000,1.0000,1.0000
custom_noise_thermal_relaxation,thermal_relaxation_high,thermal,relaxation_high,25,1.0000,1.0000,1.0000,1.0000
custom_noise_thermal_relaxation,thermal_relaxation_very-high,thermal,relaxation_very-high,25,1.0000,1.0000,1.0000,1.0000
custom_noise_depolarizing,depolarizing_ultra-low,depolarizing,ultra-low,25,1.0000,1.0000,1.0000,1.0000
custom_noise_depolarizing,depolarizing_low,depolarizing,low,25,1.0000,1.0000,1.0000,1.0000
custom_noise_depolarizing,depolarizing_medium,depolarizing,medium,25,1.0000,1.0000,1.0000,1.0000
custom_noise_depolarizing,depolarizing_high,depolarizing,high,25,1.0000,1.0000,1.0000,1.0000
custom_noise_depolarizing,depolarizing_very-high,depolarizing,very-high,25,0.0400,0.0067,0.0400,0.0114
custom_noise_amplitude_damping,amplitude_damping_ultra-low,amplitude,damping_ultra-low,25,1.0000,1.0000,1.0000,1.0000
custom_noise_amplitude_damping,amplitude_damping_low,amplitude,damping_low,25,1.0000,1.0000,1.0000,1.0000
