experiment_id,sentence,pattern,backend_label,noise_kind,noise_level,expected_indices,top_indices,overlap,success_prob
1,ola meu nome e sergio,me,ideal-simulator,ideal,none,"4,10","4,10",2,0.958496
1,ola meu nome e sergio,me,simulator-amplitude-ultra-low,amplitude,ultra-low,"4,10","4,10",2,0.886719
1,ola meu nome e sergio,me,simulator-amplitude-low,amplitude,low,"4,10","4,10",2,0.453125
1,ola meu nome e sergio,me,simulator-amplitude-medium,amplitude,medium,"4,10","7,21",0,0.054688
1,ola meu nome e sergio,me,simulator-amplitude-high,amplitude,high,"4,10","5,21",0,0.037109
1,ola meu nome e sergio,me,simulator-amplitude-very-high,amplitude,very-high,"4,10","5,21",0,0.062012
1,ola meu nome e sergio,me,simulator-phase-ultra-low,phase,ultra-low,"4,10","4,10",2,0.936035
1,ola meu nome e sergio,me,simulator-phase-low,phase,low,"4,10","4,10",2,0.690430
1,ola meu nome e sergio,me,simulator-phase-medium,phase,medium,"4,10","4,10",2,0.234375
1,ola meu nome e sergio,me,simulator-phase-high,phase,high,"4,10","4,10",2,0.099609
1,ola meu nome e sergio,me,simulator-phase-very-high,phase,very-high,"4,10","13,18",0,0.060547
1,ola meu nome e sergio,me,simulator-depolarizing-ultra-low,depolarizing,ultra-low,"4,10","4,10",2,0.880859
1,ola meu nome e sergio,me,simulator-depolarizing-low,depolarizing,low,"4,10","4,10",2,0.427734
1,ola meu nome e sergio,me,simulator-depolarizing-medium,depolarizing,medium,"4,10","10,13",1,0.071777
1,ola meu nome e sergio,me,simulator-depolarizing-high,depolarizing,high,"4,10","13,18",0,0.061035
1,ola meu nome e sergio,me,simulator-depolarizing-very-high,depolarizing,very-high,"4,10","13,18",0,0.060547
1,ola meu nome e sergio,me,simulator-combined-ultra-low,combined,ultra-low,"4,10","4,10",2,0.780273
1,ola meu nome e sergio,me,simulator-combined-low,combined,low,"4,10","4,10",2,0.163574
1,ola meu nome e sergio,me,simulator-combined-medium,combined,medium,"4,10","13,17",0,0.048340
1,ola meu nome e sergio,me,simulator-combined-high,combined,high,"4,10","1,5",0,0.050293
1,ola meu nome e sergio,me,simulator-combined-very-high,combined,very-high,"4,10","4,9",1,0.072754
1,ola meu nome e sergio,me,noisy-sim-ibm_fez,backend_noise,ibm_fez,"4,10","4,10",2,0.297852
1,ola meu nome e sergio,me,noisy-sim-ibm_torino,backend_noise,ibm_torino,"4,10","4,10",2,0.371582
2,fernando fez feitos incriveis,fe,ideal-simulator,ideal,none,"0,9,13","0,9,13",3,0.999512
2,fernando fez feitos incriveis,fe,simulator-amplitude-ultra-low,amplitude,ultra-low,"0,9,13","0,9,13",3,0.935059
2,fernando fez feitos incriveis,fe,simulator-amplitude-low,amplitude,low,"0,9,13","0,9,13",3,0.486328
2,fernando fez feitos incriveis,fe,simulator-amplitude-medium,amplitude,medium,"0,9,13","6,18,22",0,0.089844
2,fernando fez feitos incriveis,fe,simulator-amplitude-high,amplitude,high,"0,9,13","6,18,22",0,0.065430
2,fernando fez feitos incriveis,fe,simulator-amplitude-very-high,amplitude,very-high,"0,9,13","0,16,18",1,0.100098
2,fernando fez feitos incriveis,fe,simulator-phase-ultra-low,phase,ultra-low,"0,9,13","0,9,13",3,0.960938
2,fernando fez feitos incriveis,fe,simulator-phase-low,phase,low,"0,9,13","0,9,13",3,0.708496
2,fernando fez feitos incriveis,fe,simulator-phase-medium,phase,medium,"0,9,13","0,9,13",3,0.253418
2,fernando fez feitos incriveis,fe,simulator-phase-high,phase,high,"0,9,13","0,9,13",3,0.134277
2,fernando fez feitos incriveis,fe,simulator-phase-very-high,phase,very-high,"0,9,13","1,13,18",1,0.098145
2,fernando fez feitos incriveis,fe,simulator-depolarizing-ultra-low,depolarizing,ultra-low,"0,9,13","0,9,13",3,0.922363
2,fernando fez feitos incriveis,fe,simulator-depolarizing-low,depolarizing,low,"0,9,13","0,9,13",3,0.456543
2,fernando fez feitos incriveis,fe,simulator-depolarizing-medium,depolarizing,medium,"0,9,13","1,7,13",1,0.107910
2,fernando fez feitos incriveis,fe,simulator-depolarizing-high,depolarizing,high,"0,9,13","1,13,18",1,0.098145
2,fernando fez feitos incriveis,fe,simulator-depolarizing-very-high,depolarizing,very-high,"0,9,13","1,13,18",1,0.098145
2,fernando fez feitos incriveis,fe,simulator-combined-ultra-low,combined,ultra-low,"0,9,13","0,9,13",3,0.827637
2,fernando fez feitos incriveis,fe,simulator-combined-low,combined,low,"0,9,13","0,9,13",3,0.217285
2,fernando fez feitos incriveis,fe,simulator-combined-medium,combined,medium,"0,9,13","16,18,26",0,0.088379
2,fernando fez feitos incriveis,fe,simulator-combined-high,combined,high,"0,9,13","12,16,20",0,0.089844
2,fernando fez feitos incriveis,fe,simulator-combined-very-high,combined,very-high,"0,9,13","0,4,9",2,0.121582
2,fernando fez feitos incriveis,fe,noisy-sim-ibm_fez,backend_noise,ibm_fez,"0,9,13","0,9,13",3,0.337402
2,fernando fez feitos incriveis,fe,noisy-sim-ibm_torino,backend_noise,ibm_torino,"0,9,13","0,9,13",3,0.404297
3,bolorosos bolos de bolas de bacia,bo,ideal-simulator,ideal,none,"0,10,19","0,10,19",3,0.999512
3,bolorosos bolos de bolas de bacia,bo,simulator-amplitude-ultra-low,amplitude,ultra-low,"0,10,19","0,10,19",3,0.930176
